,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList
160,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui panamensis,
161,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui mustelinus,
162,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui soui,
163,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui andrei,
164,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui caucae,
165,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui harterti,
166,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui caquetae,
167,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui nigriceps,
168,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui albigularis,
169,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui inconspicuus,
170,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus ptaritepui,Tepui Tinamou
171,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus,Brown Tinamou
172,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus cerviniventris,
173,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus knoxi,
174,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus castaneus,
175,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus ochraceiventris,
176,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus traylori,
177,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus punensis,
178,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus griseiventris,
179,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus hypochraceus,
180,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus obsoletus,
181,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus,Undulated Tinamou
182,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus manapiare,
183,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus simplex,
184,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus yapura,
185,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus adspersus,
186,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus vermiculatus,
187,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus undulatus,
188,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus transfasciatus,Pale-browed Tinamou
189,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus strigulosus,Brazilian Tinamou
190,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus duidae,Grey-legged Tinamou
191,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus,Red-legged Tinamou
192,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus cursitans,
193,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus idoneus,
194,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus columbianus,
195,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus saltuarius,
196,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus spencei,
197,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus margaritae,
198,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus erythropus,
199,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus,Yellow-legged Tinamou
200,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus zabele,
201,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus noctivagus,
202,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus,Black-capped Tinamou
203,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus atrocapillus,
204,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus garleppi,
205,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi,Slaty-breasted Tinamou
206,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi boucardi,
207,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi costaricensis,
208,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus kerriae,Choco Tinamou
209,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus variegatus,Variegated Tinamou
210,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus,Thicket Tinamou
211,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus occidentalis,
212,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus mexicanus,
213,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus soconuscensis,
214,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus vicinior,
215,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus sallaei,
216,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus goldmani,
217,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus cinnamomeus,
218,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus delattrii,
219,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus praepes,
220,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus brevirostris,Rusty Tinamou
221,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus bartletti,Bartlett's Tinamou
222,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus parvirostris,Small-billed Tinamou
223,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus casiquiare,Barred Tinamou
224,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa,Tataupa Tinamou
225,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa inops,
226,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa lepidotus,
227,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa peruvianus,
228,subspecies,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa tataupa,
229,order,Anseriformes,,,Anseriformes,
230,family,Anseriformes,Anhimidae,Screamers,Anhimidae,
231,genus,Anseriformes,Anhimidae,Screamers,Anhima,
232,species,Anseriformes,Anhimidae,Screamers,Anhima cornuta,Horned Screamer
233,genus,Anseriformes,Anhimidae,Screamers,Chauna,
234,species,Anseriformes,Anhimidae,Screamers,Chauna chavaria,Northern Screamer
235,species,Anseriformes,Anhimidae,Screamers,Chauna torquata,Southern Screamer
236,family,Anseriformes,Anseranatidae,Magpie Goose,Anseranatidae,
237,genus,Anseriformes,Anseranatidae,Magpie Goose,Anseranas,
238,species,Anseriformes,Anseranatidae,Magpie Goose,Anseranas semipalmata,Magpie Goose
239,family,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anatidae,
240,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis,
241,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus,White-backed Duck
242,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus leuconotus,
243,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus insularis,
244,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna,
245,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna guttata,Spotted Whistling Duck
246,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna eytoni,Plumed Whistling Duck
247,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna viduata,White-faced Whistling Duck
248,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis,Black-bellied Whistling Duck
249,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis fulgens,
250,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis autumnalis,
251,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arborea,West Indian Whistling Duck
252,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna bicolor,Fulvous Whistling Duck
253,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata,Wandering Whistling Duck
254,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata arcuata,
255,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata pygmaea,
256,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata australis,
257,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna javanica,Lesser Whistling Duck
258,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura,
259,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata,Musk Duck
260,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata lobata,
261,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata menziesi,
262,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus,
263,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus pulchellus,Green Pygmy Goose
264,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus,Cotton Pygmy Goose
265,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus coromandelianus,
266,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus albipennis,
267,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus auritus,African Pygmy Goose
268,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Stictonetta,
269,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Stictonetta naevosa,Freckled Duck
270,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Heteronetta,
271,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Heteronetta atricapilla,Black-headed Duck
272,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nomonyx,
273,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nomonyx dominicus,Masked Duck
274,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura,
275,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura leucocephala,White-headed Duck
276,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura australis,Blue-billed Duck
277,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura maccoa,Maccoa Duck
278,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura vittata,Lake Duck
279,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis,Ruddy Duck
280,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis jamaicensis,
281,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis ferruginea,
282,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis andina,
283,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus,
284,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis,Spur-winged Goose
285,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis gambensis,
286,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis niger,
287,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Malacorhynchus,
288,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Malacorhynchus membranaceus,Pink-eared Duck
289,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Coscoroba,
290,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Coscoroba coscoroba,Coscoroba Swan
291,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis,
292,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae,Cape Barren Goose
293,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae novaehollandiae,
294,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae grisea,
295,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus,
296,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus melancoryphus,Black-necked Swan
297,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus olor,Mute Swan
298,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus atratus,Black Swan
299,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus,Tundra Swan
300,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus columbianus,
301,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus bewickii,
302,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus cygnus,Whooper Swan
303,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus buccinator,Trumpeter Swan
304,genus,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta,
305,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla,Brant Goose
306,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla nigricans,
307,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla bernicla,
308,subspecies,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla hrota,
309,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta ruficollis,Red-breasted Goose
310,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta sandvicensis,Nene
311,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis,Canada Goose
